teryt;JPT_NAZWA;Szkołapodstawowa10_2023;czniowiena1000miesz;bezrobocie;Miasto_prawa_powiatu;uczniowie_ukraina_porownanie_powiat_wojew;Szkołapodstawowa02_2022;Ukraina_suma_02_2022;uczniowie_ukraina_porownanie_powiat_na1000mieszk2022;ROZNICE_2023_2022_SP;Szkołapodstawowa09_2022;Suma09_2022;ROZNICE_09_03_2022_SP;ROZNICE_09_03_2022_ALL;Suma_10_2023;ROZNICE_uczniowie_roznice_ogolem_04_09;WSZYSCY_UCZNIOWIE;cena_m2@2021;cena_m2@2022;dynamika_m2;klastry_bez_dynamika;klastry_bez_uczniowie_mieszkania;QCL_2;QCL_1;ROZNICE_2023_2022_SP_RELATIVE;ROZNICE_09_03_202_SP_RELATIVE;UCZNIOWIE_SP_JAKO_PROCENT_2022;UCZNIOWIE_SP_JAKO_PROCENT_2023;UCZNIOWIE_SP_JAKO_PROCENT_ROZNICA;Uchodzcy_roczniki_sp_04_2022;PROCENT_UCZNIOW_WG_UCHODZCOW_04_2022;ZPROCENT_UCZNIOW_WG_UCHODZCOW_04_2022;miast_prawa_powiat_rekod;Rbezrobo;Rdynamik;Rczniowi;suma_rang_B_SZ_Dyna;Wszyscy_ukraina_04_2022;proc_wiek_sp_uchodzcy_04_2022;Uchodzcy_roczniki_sp_09_2022;PROCENT_UCZNIOW_WG_UCHODZCOW_09_2022;Wszyscy_ukraina_09_2022;proc_wiek_sp_uchodzcy_09_2022;Uchodzcy_roczniki_sp_10_2023;PROCENT_UCZNIOW_WG_UCHODZCOW_10_2023;Wszyscy_ukraina_10_2023;proc_wiek_sp_uchodzcy_10_2023;Uczniowie_sp_04_2022_altern;Uczniowie_JEZYK_sp_04_2022_altern;procent_jezyk_04_2022;niezogdnosc_danych_SP_04_2022;niezogdnosc_danych_procent_04_2022;Uczniowie_sp_10_2022_altern;Uczniowie_Jezyk_sp_04_2022;procent
201;powiat bolesławiecki;371;4.219649235;3.1;FAŁSZ;2;504;645;5.732353677;-133;465;713;-39;68;649;68;7287;3512;5280;50.34168565;5;5;4;2;-1.82516810758886;-.535199670646357;78.1395348837209;57.1648690292758;-20.9746658544451;712;70.7865168539326;.855166148002497;0;43.5;368;336;747.5;2900;24.551724137931;895;51.9553072625698;4242;21.0985384252711;647;57.3415765069552;3535;18.3026874115983;493;333;67.5456389452333;-11;-2.23123732251521;465;322;69.247311827957
202;powiat dzierżoniowski;247;2.576593681;5.2;FAŁSZ;2;346;429;3.609317463;-99;248;354;-98;-75;373;-75;6725;2706;3217;18.88396157;2;5;4;2;-1.47211895910781;-1.45724907063197;80.6526806526807;66.2198391420911;-14.4328415105895;616;56.1688311688312;.203724472439834;0;143.5;245;260;648.5;2533;24.3189893407027;745;33.2885906040268;3360;22.172619047619;508;48.6220472440945;2171;23.3993551358821;386;55;14.2487046632124;40;10.3626943005181;248;94;37.9032258064516
203;powiat głogowski;204;2.380702307;6.4;FAŁSZ;2;222;328;2.590764275;-18;238;374;16;46;349;46;7272;4470;4570;2.237136465;2;5;4;2;-.247524752475248;.22002200220022;67.6829268292683;58.4527220630373;-9.23020476623104;373;59.5174262734584;.352955647109478;0;191.5;47;242;480.5;1557;23.956326268465;434;54.8387096774194;1916;22.651356993737;300;68;1296;23.1481481481481;243;35;14.40329218107;21;8.64197530864197;238;72;30.2521008403361
204;powiat górowski;18;.549819781;13.8;FAŁSZ;2;75;101;2.290915755;-57;41;68;-34;-33;34;-33;2433;2001;2590;29.43528236;2;5;4;2;-2.34278668310728;-1.39745170571311;74.2574257425743;52.9411764705882;-21.316249271986;141;53.1914893617021;.0710383155924647;0;350.5;320;27;697.5;576;24.4791666666667;169;24.2603550295858;783;21.5836526181354;105;17.1428571428571;456;23.0263157894737;89;81;91.0112359550562;14;15.7303370786517;41;26;63.4146341463415
205;powiat jaworski;104;2.185608608;10.2;FAŁSZ;2;136;179;2.858103564;-32;148;227;12;48;175;48;3497;3223;3462;7.415451443;2;5;4;2;-.915070060051473;.343151272519302;75.9776536312849;59.4285714285714;-16.5490822027135;352;38.6363636363636;-.577615356048851;0;298;83;220;601;1417;24.8412138320395;440;33.6363636363636;1933;22.7625452664252;312;33.3333333333333;1273;24.509033778476;149;65;43.6241610738255;13;8.7248322147651;148;63;42.5675675675676
206;powiat jeleniogórski;271;4.441457978;8.5;FAŁSZ;2;430;515;7.047331847;-159;347;459;-83;-56;349;-56;3946;5506;9569;73.79222666;5;5;4;2;-4.02939685757729;-2.10339584389255;83.495145631068;77.6504297994269;-5.84471583164103;847;50.767414403778;-.0369913333066798;0;262.5;378;343;983.5;3359;25.2158380470378;1049;33.0791229742612;4449;23.5783322094853;704;38.4943181818182;2851;24.6930901438092;486;68;13.9917695473251;56;11.522633744856;347;83;23.9193083573487
207;powiat kamiennogórski;93;2.280194184;6.1;FAŁSZ;2;140;185;3.432550385;-47;108;160;-32;-25;141;-25;2816;2729;2960;8.464639062;2;5;4;2;-1.66903409090909;-1.13636363636364;75.6756756756757;65.9574468085106;-9.71822886716504;214;65.4205607476635;.616030657462679;0;181.5;97;228;506.5;963;22.2222222222222;243;44.4444444444444;1413;17.1974522292994;184;50.5434782608696;1041;17.6753121998079;134;60;44.7761194029851;-6;-4.47761194029851;108;53;49.0740740740741
208;powiat kłodzki;346;2.327129896;11.8;FAŁSZ;2;306;387;2.058097538;40;464;650;158;263;524;263;10696;3242;4010;23.68908081;2;2;3;5;.37397157816006;1.47718773373224;79.0697674418605;66.030534351145;-13.0392330907154;1129;27.1036315323295;-1.09157512283496;0;330.5;292;234;856.5;4364;25.8707607699358;1320;35.1515151515151;5529;23.8741182854042;909;38.0638063806381;3504;25.9417808219178;474;172;36.2869198312236;168;35.4430379746835;464;150;32.3275862068966
209;powiat legnicki;77;1.399185928;8.1;FAŁSZ;2;176;200;3.198139264;-99;112;137;-64;-63;90;-63;4095;3415;3562;4.304538799;2;5;4;2;-2.41758241758242;-1.56288156288156;88;85.5555555555556;-2.44444444444444;728;24.1758241758242;-1.22205376159721;0;249.5;56;124;429.5;2992;24.331550802139;824;13.5922330097087;3763;21.8974222694659;539;14.2857142857143;2328;23.1529209621993;183;48;26.2295081967213;7;3.82513661202186;112;84;75
210;powiat lubański;149;2.871680222;7.1;FAŁSZ;2;186;233;3.584782022;-37;193;316;7;83;250;83;3820;3289;4341;31.9854059;2;5;4;5;-.968586387434555;.183246073298429;79.8283261802575;59.6;-20.2283261802575;301;61.7940199335548;.454412746438142;0;214;339;280;833;1243;24.2156074014481;374;51.6042780748663;1671;22.3818073010174;259;57.5289575289575;1214;21.334431630972;210;127;60.4761904761905;24;11.4285714285714;193;146;75.6476683937824
